to take into account X|to take X into account; to consider|A separable multiword phrase. See Sect. 4.7 of Guide.
the actual situation|the present situation; current|False cognate from some languages; see dictionary.
to be in agreement with|to agree with|Wordy and overused, yet useful in a few specific contexts.
Albeit it has higher S/N,|Although it has higher S/N; albeit with higher S/N|Albeit means "although it be", so it cannot be used with another verb.
to allow to do X|to allow us to do X; to allow X to be done; to allow Xing, etc.|This is a transitive verb that requires a direct object (X), but there are other choices for saying the same thing. Sect. 6.2.2.
associate to|associate with|Use the correct preposition.
a bad result|a poor result; an incorrect result|"Bad" implies a moral level, unlike the 2 other choices.
be of high accuracy; be of importance; be of X origin|be very accurate; be important; have an X origin|A wordy phrasing that should be used sparingly and does not add any new meaning over the standard phrases.
the best value|the most precise value|Implies a moral level, as for "bad" above.
Besides|Besides that; Along with that; In addition|"Besides" alone means something slightly different at the beginning of the sentence, an argumentative point, not just an addition or contrast.
both X as well as Y|both X and Y|"both...and..." is a defined phrase, and it only allows 2 items.
can’t; can not; other contractions|cannot; will not; have not; etc.|A&A follows the policy of formality related to contractions.
candidate to do|candidate for doing; a candidate for N|General usage for this.
in case of|in the case of; whenever; for|"The" is often left off, so it means "whenever" instead.
center around|center on; situated around/at|The correct preposition is "on"; "at" may sometimes work with measurements in an instrumental position, e.g., " centered at l = 136º, b = 7º.
X is claimed to be Y|It is said/claimed to be Y; Z claim that X is Y|See "suggest" below.
combined together|combine|Redundant.
comparable with|comparable to; similar to; compared with|"To" is the preposition used with the adjective form.
compared to (or with)|more than, less than, etc.|Overused so needs checking whether the standard comparison is meant. See "with respect to".
composed by|composed of|Incorrect preposition, except in music.
to comprise of X|include X; comprise X; constitute X; be comprised of X; consist of|Incorrect preposition, but perhaps not what is meant: see Sect. 7.2.2.
only concentrate on|concentrate on|Adding "only" makes it redundant.
to confront X with Y|to compare X with (and) Y|False cognate in this context; see English dictionary.
take into consideration X|to take X into consideration|A separable multiword phrase. See Sect. 4.7 of Guide.
contradict X with Y|X contradicts Y; compare X and Y|Choose one.
contrary to|in contrast to; instead,|Overuse or misuse. Definition for English use:
correct from|correct for|Not the standard preposition when only one object. OK with "corrected X from Y version to Z version".
correlate to|correlate with|Wrong preposition.
correspond with|correspond to|Wrong preposition
used 2 data|used two datapoints|The singular of "data" is "data point" or "datapoint".
decrease down; decrease of|decrease; decrease in|Redundant (V); preferred preposition (N).
to depend of; depend with; dependent of|to depend on; be dependent on|The preposition is ON for these.
to detail X|to explain X in detail|OK if is truly detailed, such as a list of parameter values in a table, but not for a section that explains.
in details|in detail|A standard phrase without plural.
discriminate|distinguish; differentiate|See the dictionary for the differences. One legitimate use is in a phrase like "to discriminate spurious features from true absorption bands because of the quality of what needs to be distinguished "
discuss on/about X|discuss X|This is a transitive verb so there is no preposition, just the object: what is being discussed.
discussion on|discussion of/about|This is the correct preposition, although the first is understandable: a discussion on the topic of = a discussion of (see "study").
dominate over|dominate|Redundant with preposition.
a study of X was done|X was studied|Wordy and redundant.
an effect due to X (or another combination)|an effect of X|Redundant phrasing, since both are causes.
Due to X, Y happens|Owing to X, ...; Because of X,..."; "X causes...", "as a result of", etc.|Overuse of "due to" is one problem in general, but its default use is adjectival, not adverbial, as in this example, unlike "owing to" and and others, so it can be ambiguous in some sentences.
effect due to|effect of|redundant.
e.g.|for example; for instance; such as; list after a colon with "etc." or "among others"|Avoid abbreviating in the regular formal prose, but OK in parenthesis & captions.
to enable to do|to enable us to do|See "allow"; transitive verb requires a direct object.
enhance the X|to increase the X|Enhance is fine in the right context, but it does not mean "increase". See dictionary.
every X|every X, or each X|Almost the same meaning, but a different emphasis: each emphasizes "one by one" and every emphasizes the sense of "all".
evidenced by; evidence for; evidences|shown by, illustrated by, proven by; evidence of; pieces of evidence OR proofs|Overused for the choices given, so ambiguous; same comment for the preposition. The noun is not countable, so there is no plural. OF is the preposition.
detect the existence of X|detect X|See Sect. 7.1.1.
the fact that X possibility; the fact that X can be|the possiblity that X is|Avoid "fact that" if it does not refer to an actual fact. The trick is to find the word or idea in what follows to find what can replace (e.g., possibility, see 5.3.3.).
due to the fact that|because|Wordy; see Sect. 5.3.3.
few X|a few X; very few X|Leaving the article off changes the meaning.
fit by a Gaussian|fit with a Gaussian|US spelling: UK=fitted.
focus only on|focus on|Adding "only" makes it redundant.
in the following X|in the next X; in a subsequent X; in the following way|It is correct but overused in too many functions, so if the others are seldom used or not at all, then it should be varied when used often.
a large fraction; a significant fraction|a high percentage, large portion, amount, number|Overused for the choices given: See Sect. 7.2.2. The word alone implies "small", not large.
in the frame of X|in the framework of X|This is the word in this context.
adds a further X; went further; Further, we|adds another X or adds more Xs; went farther; Furthermore, we|Overused word with many meanings leads to ambiguity Sect. 7.2.2. Farther = distance; further is figurative distance or depth: discussed the problem further. "Furthermore" is the word for the logical connector that is meant.
