account	to take into account X	to take X into account; to consider	A separable multiword phrase. See Sect. 4.7 of Guide.
actual	the actual situation	the present situation; current	False cognate from some languages; see dictionary.
agreement	to be in agreement with	to agree with	Wordy and overused, yet useful in a few specific contexts.
albeit	Albeit it has higher S/N,	Although it has higher S/N; albeit with higher S/N	Albeit means “although it be”, so it cannot be used with another verb.
allow	to allow to do X	to allow us to do X; to allow X to be done; to allow Xing, etc.	This is a transitive verb that requires a direct object (X), but there are other choices for saying the same thing. Sect. 6.2.2.
associate	associate to	associate with	Use the correct preposition.
bad	a bad result	a poor result; an incorrect result	“Bad” implies a moral level, unlike the 2 other choices.
be of	be of high accuracy; be of importance; be of X origin	be very accurate; be important; have an X origin	A wordy phrasing that should be used sparingly and does not add any new meaning over the standard phrases.
best	the best value	the most precise value	Implies a moral level, as for “bad" above.
besides	Besides	Besides that; Along with that; In addition	“Besides” alone means something slightly different at the beginning of the sentence, an argumentative point, not just an addition or contrast.
both	both X as well as Y	both X and Y	“both…and…” is a defined phrase, and it only allows 2 items.
can’t	can’t; can not; other contractions	cannot; will not; have not; etc.	A&A follows the policy of formality related to contractions.
candidate	candidate to do	candidate for doing; a candidate for N	General usage for this.
case	in case of	in the case of; whenever; for	“The” is often left off, so it means “whenever” instead.
center	center around	center on; situated around/at	The correct preposition is “on”; “at” may sometimes work with measurements in an instrumental position, e.g., “ centered at l = 136º, b = 7º.
claim	X is claimed to be Y	It is said/claimed to be Y; Z claim that X is Y	See “suggest” below.
combine	combined together	combine	Redundant.
comparable	comparable with	comparable to; similar to; compared with	“To” is the preposition used with the adjective form.
compared	compared to (or with)	more than, less than, etc.	Overused so needs checking whether the standard comparison is meant. See “with respect to”.
composed	composed by	composed of	Incorrect preposition, except in music.
comprise	to comprise of X	include X; comprise X; constitute X; be comprised of X; consist of	Incorrect preposition, but perhaps not what is meant: see Sect. 7.2.2.
concentrate	only concentrate on	concentrate on	Adding “only” makes it redundant.
confront	to confront X with Y	to compare X with (and) Y	False cognate in this context; see English dictionary.
consideration	take into consideration X	to take X into consideration	A separable multiword phrase. See Sect. 4.7 of Guide.
contradict	contradict X with Y	X contradicts Y; compare X and Y	Choose one.
contrary	contrary to	in contrast to; instead,	Overuse or misuse. Definition for English use:
correct	correct from	correct for	Not the standard preposition when only one object. OK with “corrected X from Y version to Z version”.
correlate	correlate to	correlate with	Wrong preposition.
correspond	correspond with	correspond to	Wrong preposition
data	used 2 data	used two datapoints	The singular of “data” is “data point” or “datapoint”.
