#American British
acknowledgment acknowledgement
aging ageing
ameba amoeba
analog analogue
analyze analyse
anesthesia anaesthesia
behavior behaviour
catalog catalogue
catalyze catalyse
center centre
cesium caesium
characterize characterise
color colour
contour contour
defense defence
defensive defensive
dialog dialogue
diarrhea diarrhoea
enroll enrol
favor favour
fiber fibre
fulfill fulfil
judgment judgement
labeled labelled
leukemia leukaemia
liter litre
maximize maximise
minimize minimise
prioritize prioritise
signaling signalling
skillful skilful
specialize specialise
